step,epoch,reward_mean,reward_std,loss,kl,completion_mean_length
20,0.078125,0.007975000143051147,0.015950000286102294,0.0029,,76.45
40,0.15625,0.00806249976158142,0.01612499952316284,0.0078,,92.6375
60,0.234375,0.0,0.0,0.0,,85.7
80,0.3125,0.008020833134651184,0.016041666269302368,0.0013,,84.65
100,0.390625,0.00806249976158142,0.01612499952316284,0.0017,,78.425
120,0.46875,0.01612499952316284,0.03224999904632568,0.0245,,73.7875
140,0.546875,0.00806249976158142,0.01612499952316284,0.0118,,67.3625
160,0.625,0.0,0.0,0.0,,71.1375
180,0.703125,0.04023333266377449,0.06683621257543564,0.0138,,65.425
200,0.78125,0.004800000041723251,0.009599999338388444,0.0113,,92.2875
220,0.859375,0.0,0.0,0.0,,73.6125
240,0.9375,0.0,0.0,0.0,,99.35
260,1.015625,0.0,0.0,0.0,,83.2125
280,1.09375,0.0,0.0,0.0,,71.0625
300,1.171875,0.0,0.0,0.0,,69.3625
320,1.25,0.010553571209311486,0.02110714316368103,0.0332,,100.3625
340,1.328125,0.013008928298950196,0.02601785734295845,0.0204,,73.375
360,1.40625,0.005575000122189522,0.011150000244379043,0.0162,,74.6625
380,1.484375,0.0,0.0,0.0,,81.2125
400,1.5625,0.0,0.0,0.0,,86.05
420,1.640625,0.021699999645352363,0.043399999290704726,0.0338,,59.1
440,1.71875,0.0,0.0,0.0,,89.075
460,1.796875,0.011197420582175256,0.02239484116435051,0.0397,,88.475
480,1.875,0.01612499952316284,0.03224999904632568,0.0075,,71.8
500,1.953125,0.00806249976158142,0.01612499952316284,-0.0007,,83.45
520,2.03125,0.0,0.0,0.0,,84.6625
540,2.109375,0.00806249976158142,0.01612499952316284,0.0056,,91.2625
560,2.1875,0.00806249976158142,0.01612499952316284,-0.0024,,64.4375
580,2.265625,0.0,0.0,0.0,,81.8125
600,2.34375,0.0,0.0,0.0,,70.475
620,2.421875,0.0,0.0,0.0,,71.25
640,2.5,0.013652777671813965,0.02730555534362793,0.0256,,67.9375
660,2.578125,0.02904166616499424,0.05808333307504654,0.0122,,81.425
680,2.65625,0.0,0.0,0.0,,80.55
700,2.734375,0.016087500005960466,0.03217500001192093,0.0248,,74.4
720,2.8125,0.0,0.0,0.0,,79.7
740,2.890625,0.00806249976158142,0.01612499952316284,0.0073,,84.0125
760,2.96875,0.0,0.0,0.0,,81.3625
780,3.046875,0.0,0.0,0.0,,84.7125
800,3.125,0.016133928298950197,0.03226785659790039,0.0046,,83.0375
820,3.203125,0.00806249976158142,0.01612499952316284,0.0121,,95.7625
840,3.28125,0.0,0.0,0.0,,74.0
860,3.359375,0.013008928298950196,0.02601785734295845,0.0039,,75.3375
880,3.4375,0.00806249976158142,0.01612499952316284,0.0048,,80.9625
900,3.515625,0.021699999645352363,0.043399999290704726,0.033,,73.975
920,3.59375,0.016037499904632567,0.032074999809265134,-0.0085,,69.0875
940,3.671875,0.00806249976158142,0.01612499952316284,0.0107,,83.6875
960,3.75,0.008020833134651184,0.016041666269302368,0.0107,,89.4
980,3.828125,0.008020833134651184,0.016041666269302368,-0.0068,,79.0875
1000,3.90625,0.0,0.0,0.0,,69.65
1020,3.984375,0.015583333373069764,0.031166666746139528,-0.0576,,88.9125
1040,4.0625,0.01612499952316284,0.03224999904632568,0.017,,81.85
1060,4.140625,0.004928571358323097,0.009857143461704253,-0.0067,,87.4125
1080,4.21875,0.00806249976158142,0.01612499952316284,-0.0004,,86.0875
1100,4.296875,0.01612499952316284,0.018619546294212343,0.0179,,76.5125
1120,4.375,0.0,0.0,0.0,,84.9875
1140,4.453125,0.0,0.0,0.0,,70.075
1160,4.53125,0.0056071426719427105,0.011214285343885421,0.0149,,71.6
1180,4.609375,0.0,0.0,0.0,,86.0875
1200,4.6875,0.0,0.0,0.0,,70.3875
1220,4.765625,0.00806249976158142,0.01612499952316284,0.004,,82.8
1240,4.84375,0.0,0.0,0.0,,85.8375
1260,4.921875,0.00806249976158142,0.01612499952316284,0.0061,,84.45
1280,5.0,0.00806249976158142,0.01612499952316284,0.0117,,83.8
1300,5.078125,0.0,0.0,0.0,,60.55
1320,5.15625,0.0,0.0,0.0,,84.825
1340,5.234375,0.008025000244379044,0.016050000488758088,0.0175,,80.125
1360,5.3125,0.0,0.0,0.0,,82.3625
1380,5.390625,0.00806249976158142,0.01612499952316284,0.0157,,85.6125
1400,5.46875,0.00806249976158142,0.01612499952316284,0.0104,,68.1625
