step,epoch,reward_mean,reward_std,loss,grad_norm,kl,frac_reward_zero_std,completion_mean_length,entropy,learning_rate
20,0.08,0.43099583089351656,0.3023003889597021,0.0823,0.9029794335365295,,0.05,59.3375,0.6246032222174108,1.5833333333333333e-06
40,0.16,0.6531115040183068,0.2417530484497547,0.0212,0.7001100778579712,,0.15,67.6625,0.6678056329488754,3.2500000000000002e-06
60,0.23,0.6324519902467728,0.1951668880879879,0.0696,0.0,,0.2,78.725,0.7243172148242593,4.9166666666666665e-06
80,0.31,0.6417815431952476,0.13902791068539955,0.0889,0.949376106262207,,0.25,73.1625,0.5153956486843526,4.998816742574214e-06
100,0.39,0.6922648698091507,0.11258461875841022,0.1075,0.0,,0.4,73.35,0.5741758117452264,4.995015849428921e-06
120,0.47,0.6299724191427231,0.09506236352026462,0.1488,0.9583495259284973,,0.55,62.65,0.4509565883781761,4.988598029196885e-06
140,0.55,0.7045418500900269,0.07187244407832623,0.0109,1.0215504169464111,,0.55,70.25,0.6212235316168517,4.979570013285286e-06
160,0.62,0.7266011878848075,0.14089846808928996,-0.0375,0.0,,0.4,61.3125,0.49139952117111535,4.967941270836128e-06
180,0.7,0.7676380902528763,0.0658751601818949,0.0704,0.0,,0.65,57.05,0.583398151025176,4.953723998794413e-06
200,0.78,0.732994444668293,0.06684286373201757,0.1002,0.6418046355247498,,0.7,70.025,0.5138129509985447,4.936933109115239e-06
220,0.86,0.7150547608733178,0.06573333541164175,-0.0187,0.8512803912162781,,0.75,66.25,0.413778830319643,4.9175862131232035e-06
240,0.94,0.6690097227692604,0.07869523067492992,0.0169,0.0,,0.55,48.1,0.3816455162130296,4.895703603040572e-06
260,1.02,0.6868359088897705,0.04174187431344763,0.0419,0.0,,0.7,61.2875,0.5119543302338571,4.871308230703529e-06
280,1.09,0.6883603140711785,0.05058888792991638,0.0488,0.0,,0.8,63.35,0.4740626934915781,4.844425683488873e-06
300,1.17,0.7200047537684441,0.058642856776714325,0.0319,0.0,,0.75,84.675,0.45525455186143515,4.815084157476395e-06
320,1.25,0.7340916633605957,0.029664286971092226,0.0115,0.0,,0.9,70.25,0.45819859579205513,4.783314427875079e-06
340,1.33,0.674752376973629,0.06494611352682114,0.0226,0.0,,0.85,65.3125,0.3572172217303887,4.7491498167441645e-06
360,1.41,0.7272202432155609,0.008750000596046447,0.0109,0.0,,0.95,63.55,0.41523762079887094,4.712626158042898e-06
380,1.48,0.7227249890565872,0.04948333501815796,-0.0011,0.0,,0.85,49.5,0.4083872922929004,4.673781760045669e-06
400,1.56,0.7149722099304199,0.029661110043525694,-0.0127,1.3993672132492065,,0.85,64.5375,0.5275951331946999,4.6326573651619145e-06
420,1.64,0.7160428524017334,0.06416666507720947,0.028,0.0,,0.8,77.4375,0.506571232387796,4.589296107202957e-06
440,1.72,0.7409785702824593,0.01633333364734426,0.0268,0.0,,0.85,70.3125,0.48610593979246913,4.543743466140595e-06
460,1.8,0.7226650774478912,0.07926399111747742,-0.0079,0.0,,0.75,68.9625,0.43563916159328075,4.496047220404891e-06
480,1.88,0.7651696354150772,0.03457499742507934,0.0314,0.0,,0.85,74.7375,0.527607110585086,4.446257396771198e-06
500,1.95,0.7437845170497894,0.008750000596046447,0.0086,0.0,,0.95,90.275,0.48536467612721024,4.394426217888981e-06
520,2.03,0.7702761828899384,0.024700000882148743,0.002,0.0,,0.95,79.1125,0.37291397894732653,4.3406080475074656e-06
540,2.11,0.7181880861520767,0.024700000882148743,0.0028,0.0,,0.95,66.8375,0.493691462976858,4.284859333455576e-06
560,2.19,0.7791178464889527,0.008750000596046447,0.0102,0.0,,0.95,60.4375,0.4806905960664153,4.227238548435954e-06
580,2.27,0.7136071354150773,0.0,0.0,0.0,,1.0,65.825,0.43598639699630437,4.167806128695173e-06
600,2.34,0.7151011854410172,0.032083332538604736,0.01,0.0,,0.9,82.2375,0.47760271553415806,4.1066244106344565e-06
620,2.42,0.7314738035202026,0.0,0.0,0.0,,1.0,65.5375,0.45035494659096004,4.043757565427404e-06
640,2.5,0.7272488117218018,0.008750000596046447,-0.0013,0.0,,0.95,71.5625,0.3857926631346345,3.97927153171329e-06
660,2.58,0.796753567457199,0.008750000596046447,0.0057,0.0,,0.95,59.3125,0.48617284414358436,3.913233946436537e-06
680,2.66,0.7186696380376816,0.024774998426437378,0.0185,0.0,,0.9,60.825,0.43081934086512774,3.845714073904906e-06
700,2.73,0.7748553484678269,0.016041666269302368,-0.0005,0.0,,0.95,61.875,0.4798877394758165,3.776782733140788e-06
720,2.81,0.6763315439224243,0.041017857193946836,0.0793,2.2272067070007324,,0.9,60.1375,0.43760110314469786,3.706512223601849e-06
740,2.89,0.7535738110542297,0.024700000882148743,-0.0012,0.0,,0.95,54.9875,0.40153597728349266,3.634976249348867e-06
760,2.97,0.7649714201688766,0.0,0.0,0.0,,1.0,87.4625,0.4952080638613552,3.5622498417403574e-06
780,3.05,0.6948916554450989,8.333325386047363e-05,-0.0021,0.0,,0.95,69.425,0.5301933630369604,3.4884092807350367e-06
800,3.12,0.8542380958795548,0.0,0.0,0.0,,1.0,51.9,0.5286466354038566,3.41353201488468e-06
820,3.2,0.766561895608902,0.0,0.0,0.0,,1.0,52.6375,0.41836968744173647,3.337696580101286e-06
840,3.28,0.732489874958992,0.06563452482223511,-0.0047,0.0,,0.85,75.9125,0.5872357951942831,3.2609825172837495e-06
860,3.36,0.7611511826515198,0.008749999105930328,-0.0044,0.0,,0.95,55.4375,0.46189634802285584,3.1834702888904424e-06
880,3.44,0.7587077409029007,0.016041666269302368,0.0042,0.0,,0.95,80.1875,0.45885296650230883,3.105241194545204e-06
900,3.52,0.7307214230298996,0.0,0.0,0.0,,1.0,84.125,0.5311210081679747,3.026377285765268e-06
920,3.59,0.709246426820755,0.008750000596046447,-0.0022,0.0,,0.95,82.9875,0.42306329214479776,2.946961279900546e-06
940,3.67,0.6963357090950012,0.0,0.0,0.0,,1.0,68.925,0.3719026118284091,2.867076473374551e-06
960,3.75,0.7052839189767838,0.016041666269302368,0.0258,0.0,,0.95,81.3625,0.5307589813601226,2.786806654317955e-06
980,3.83,0.7052029669284821,0.016041666269302368,-0.0058,0.9538497924804688,,0.95,109.4625,0.5128094720654189,2.706236014686406e-06
1000,3.91,0.7315738081932068,0.0,0.0,0.0,,1.0,78.8125,0.49347350902389736,2.625449061954794e-06
1020,3.98,0.7570481985807419,0.016041666269302368,0.0064,0.0,,0.95,77.9125,0.5428027483168989,2.544530530480581e-06
1040,4.06,0.749226188659668,0.0,0.0,0.0,,1.0,90.375,0.49605329711921514,2.463565292629162e-06
1060,4.14,0.6884172618389129,0.016041666269302368,0.0048,0.0,,0.95,84.975,0.4124931542435661,2.382638269754468e-06
1080,4.22,0.7634976208209991,0.040833333134651185,-0.0041,0.0,,0.85,77.3125,0.4662552114343271,2.301834343128199e-06
1100,4.3,0.7138880968093873,0.0,0.0,0.0,,1.0,72.7875,0.5125893229618669,2.22123826491109e-06
1120,4.38,0.7188630908727646,0.024892857670783995,-0.0073,0.0,,0.95,88.3875,0.5256260334281251,2.140934569259594e-06
1140,4.45,0.7358547568321228,0.024700000882148743,-0.0023,0.0,,0.95,90.8375,0.5717625629622489,2.061007483661229e-06
1160,4.53,0.776404756307602,0.028743797540664674,0.0064,0.0,,0.95,88.875,0.5654230998596177,1.981540840591575e-06
1180,4.61,0.7660761862993241,0.0,0.0,0.0,,1.0,89.7875,0.46649862646590917,1.9026179895855815e-06
1200,4.69,0.7298214167356492,0.0,0.0,0.0,,1.0,109.6875,0.5423179447068833,1.8243217098154148e-06
1220,4.77,0.7660928457975388,0.0,0.0,0.0,,1.0,83.1375,0.5812605950515717,1.7467341232665413e-06
1240,4.84,0.7615154683589935,0.008750000596046447,0.0123,0.0,,0.95,103.525,0.596085260482505,1.6699366086031011e-06
1260,4.92,0.7315130829811096,0.032083332538604736,-0.0036,0.0,,0.9,115.0,0.5336322888499125,1.5940097158129264e-06
1280,5.0,0.6878523677587509,0.01616666615009308,0.0004,0.0,,0.9,100.9625,0.4938896268489771,1.5190330817217335e-06
1300,5.08,0.7057505875825882,0.016041666269302368,0.0043,0.0,,0.95,79.775,0.6359155979938805,1.4450853464650833e-06
