step,epoch,reward_mean,reward_std,loss,grad_norm,kl,frac_reward_zero_std,completion_mean_length,entropy,learning_rate
20,0.08,0.4950087234377861,0.3444513659342192,-0.0867,1.4924876689910889,,0.0,60.9,0.5884192381054163,9.5e-07
40,0.16,0.564712692797184,0.3285805210471153,0.012,1.257081151008606,,0.0,72.775,0.6095678565092385,1.95e-06
60,0.23,0.644631540775299,0.19146017893217504,-0.032,0.7741389274597168,,0.2,66.975,0.5326910404488444,2.9499999999999997e-06
80,0.31,0.6752549603581428,0.25184191688895224,0.0358,0.6564061045646667,,0.15,76.8,0.6357067503035069,2.9992900455445283e-06
100,0.39,0.6414047613739967,0.2308480717241764,-0.0474,1.5152511596679688,,0.15,87.875,0.7042928461916744,2.997009509657352e-06
120,0.47,0.5894307553768158,0.21533784084022045,-0.0776,0.0,,0.2,72.4875,0.555572348786518,2.993158817518131e-06
140,0.55,0.6357404693961144,0.17847865007352084,-0.0376,0.0,,0.2,74.8125,0.6397098642773926,2.9877420079711714e-06
160,0.62,0.6500880867242813,0.18107644469710066,-0.0657,0.36476755142211914,,0.35,71.8125,0.5825722314417362,2.980764762501676e-06
180,0.7,0.639838483929634,0.13417328664800152,0.073,0.9003926515579224,,0.3,85.775,0.6443376867100596,2.972234399276648e-06
200,0.78,0.70924821048975,0.14590219190577045,0.0741,2.5052571296691895,,0.3,65.05,0.551425261143595,2.962159865469143e-06
220,0.86,0.6366823360323906,0.23073245836421846,-0.0627,0.0,,0.1,109.775,0.7278386583318934,2.9505517278739217e-06
240,0.94,0.6920950308442115,0.12180601203581318,0.1691,0.7067117094993591,,0.4,76.8,0.5959925777511671,2.9374221618243433e-06
260,1.02,0.7173095166683197,0.11571830927859991,0.0851,1.229891300201416,,0.45,56.0625,0.5673898408189416,2.922784938422117e-06
280,1.09,0.6810505867004395,0.16478184908628463,0.1236,2.2994585037231445,,0.45,83.35,0.6549957121722401,2.906655410093324e-06
300,1.17,0.6529287755489349,0.1284312118543312,0.0148,1.0012025833129883,,0.25,61.2375,0.5355571064166724,2.8890504944858367e-06
320,1.25,0.6456251904368401,0.1008890954311937,0.0859,1.8773409128189087,,0.45,64.075,0.4957823310513049,2.869988656725048e-06
340,1.33,0.6370737999677658,0.12517369389533997,0.048,0.0,,0.55,63.875,0.5153405171819031,2.8494898900464982e-06
360,1.41,0.7864099219441414,0.07273807566380128,0.0512,0.6027254462242126,,0.55,59.9875,0.49523481354117393,2.8275756948257385e-06
380,1.48,0.7145991966128349,0.05259309406392276,0.1143,0.0,,0.5,77.275,0.6377450101077556,2.8042690560274015e-06
400,1.56,0.7135136812925339,0.073315471468959,0.0981,1.1408628225326538,,0.6,72.7625,0.5078143425285816,2.7795944190971486e-06
420,1.64,0.6279333233833313,0.06548655700171366,0.0466,1.6272372007369995,,0.6,63.95,0.47118484769016505,2.7535776643217743e-06
440,1.72,0.6399059414863586,0.09614023937610909,0.0141,0.5812917351722717,,0.6,57.0,0.4107088814955205,2.7262460796843567e-06
460,1.8,0.6616601094603538,0.1203927451511845,0.0969,0.0,,0.45,65.5375,0.49930444357451054,2.6976283322429346e-06
480,1.88,0.7235170543193817,0.05095634907484055,0.0663,0.0,,0.7,49.6375,0.4077523517422378,2.667754438062719e-06
