step,epoch,reward_mean,reward_std,loss,grad_norm,kl,frac_reward_zero_std,completion_mean_length,entropy,learning_rate
20,0.08,0.8486999869346619,0.20497619584202767,0.0042,0.6290268301963806,,0.2,76.6125,0.7186070200055837,3.1666666666666667e-06
40,0.16,0.9350749790668488,0.09700820147991181,0.0531,0.8272497057914734,,0.6,70.1625,0.6137641055509448,4.999537569235975e-06
60,0.23,0.9393499732017517,0.0794565200805664,0.0672,0.0,,0.6,72.8,0.6131366705521941,4.995200101381782e-06
80,0.31,0.9230749815702438,0.12985000312328338,0.0298,0.0,,0.7,68.15,0.6917997941374778,4.986304738420684e-06
100,0.39,0.9254749730229378,0.09401421546936035,0.0091,0.0,,0.75,67.3125,0.6055760752409697,4.9728677292023405e-06
120,0.47,0.9517999738454819,0.06500362530350685,0.08,0.970538318157196,,0.7,78.85,0.6674550654366612,4.954913618643425e-06
140,0.55,0.912649980187416,0.15070000141859055,-0.0251,0.758151650428772,,0.6,65.05,0.626751909032464,4.932475202892276e-06
160,0.62,0.9385999798774719,0.09880000352859497,0.0179,0.0,,0.8,67.8875,0.5920600809156895,4.905593469421323e-06
180,0.7,0.927349978685379,0.11605857610702515,0.1264,0.0,,0.7,79.1625,0.639562870375812,4.874317522156693e-06
200,0.78,0.9632999777793885,0.049400001764297485,-0.0022,0.0,,0.9,67.8625,0.6096035121008754,4.838704491781783e-06
220,0.86,0.958924975991249,0.058150000870227814,0.061,0.0,,0.85,70.975,0.6196113651618361,4.7988194313786275e-06
240,0.94,0.9879999756813049,0.0,0.0,0.0,,1.0,63.2125,0.6237356588244438,4.7547351975976996e-06
260,1.02,0.9712749749422074,0.03344999998807907,0.0217,0.0,,0.9,65.275,0.5822761971503496,4.706532317573209e-06
280,1.09,0.9756499767303467,0.024700000882148743,0.0079,0.0,,0.95,63.4625,0.5612847652286291,4.654298841826988e-06
300,1.17,0.9756499767303467,0.024700000882148743,-0.0034,0.6858677864074707,,0.95,61.6,0.5556381372734904,4.598130183429671e-06
320,1.25,0.9608499795198441,0.05430000126361847,-0.0081,0.0,,0.85,66.6125,0.6188408125191927,4.5381289437129615e-06
340,1.33,0.9632999777793885,0.049400001764297485,-0.0012,0.0,,0.9,68.9875,0.5691862534731627,4.474404724851356e-06
360,1.41,0.9804499745368958,0.01509999781847,0.0086,0.630324125289917,,0.9,69.325,0.5704782821238041,4.4070739296556665e-06
380,1.48,0.9855499774217605,0.004899999499320984,-0.0084,0.0,,0.95,70.175,0.5911746017634869,4.336259548944064e-06
400,1.56,0.9756499767303467,0.024700000882148743,0.0031,0.0,,0.95,71.625,0.5680398561060429,4.26209093687903e-06
