step,epoch,reward_mean,reward_std,loss,grad_norm,kl,frac_reward_zero_std,completion_mean_length,entropy,learning_rate
920,3.59,0.958924975991249,0.058150000870227814,0.0205,0.0,,0.85,75.925,0.6356616787612438,6.767903425455401e-07
940,3.67,0.9879999756813049,0.0,0.0,0.0,,1.0,62.825,0.5615147210657596,6.366492139712885e-07
960,3.75,0.9879499763250351,9.999871253967285e-05,0.0042,0.7480952143669128,,0.95,65.8,0.5836060812696815,5.97171805620843e-07
980,3.83,0.9712749749422074,0.03344999998807907,-0.0004,0.8192534446716309,,0.9,64.775,0.5910391340032219,5.584302295008731e-07
1000,3.91,0.9632999777793885,0.049400001764297485,-0.0027,0.0,,0.9,63.35,0.5721263006329537,5.204952534989462e-07
1020,3.98,0.9632999777793885,0.049400001764297485,-0.0091,0.0,,0.9,62.725,0.5445525705814361,4.8343617211429e-07
1040,4.06,0.9756499767303467,0.024700000882148743,0.0242,0.0,,0.95,68.3875,0.5816182425245643,4.4732067987994683e-07
1060,4.14,0.966899973154068,0.0421999990940094,0.051,0.0,,0.85,66.925,0.5696092300117016,4.1221474770752696e-07
1080,4.22,0.9756499767303467,0.024700000882148743,0.0141,0.0,,0.95,70.3875,0.5952754059806467,3.781825023804427e-07
1100,4.3,0.9632999777793885,0.049400001764297485,0.0091,0.0,,0.9,68.775,0.6173925187438727,3.452861094157472e-07
1120,4.38,0.9712749749422074,0.03344999998807907,0.0224,0.0,,0.9,67.9,0.5614961232990027,3.1358565950854976e-07
1140,4.45,0.9756499767303467,0.024700000882148743,-0.0028,0.0,,0.95,65.6875,0.5831317810341716,2.8313905876643597e-07
1160,4.53,0.9509499788284301,0.07410000264644623,0.0607,0.0,,0.85,72.7375,0.6684661764651537,2.540019229343986e-07
1180,4.61,0.9712749749422074,0.03344999998807907,0.0139,0.0,,0.9,65.475,0.5863836107775569,2.262274758034931e-07
1200,4.69,0.9632999777793885,0.049400001764297485,-0.0078,0.0,,0.9,61.7,0.5657044548541308,1.998664519887938e-07
1220,4.77,0.9879999756813049,0.0,0.0,0.0,,1.0,65.275,0.5681154888123274,1.7496700425423704e-07
1240,4.84,0.9680999755859375,0.03979999870061875,0.0056,0.0,,0.85,65.2625,0.585978571139276,1.515746155536477e-07
1260,4.92,0.9632999777793885,0.049400001764297485,0.0068,0.0,,0.9,68.4,0.6310344330966473,1.2973201594860984e-07
1280,5.0,0.9879999756813049,0.0,0.0,0.0,,1.0,65.6375,0.619429711997509,1.0947910455495246e-07
1300,5.08,0.9385999798774719,0.09880000352859497,-0.0147,0.0,,0.8,61.025,0.5577432749792933,9.085287666042508e-08
1320,5.16,0.9756499767303467,0.024700000882148743,0.0233,0.0,,0.95,64.65,0.5975259128957987,7.38873561466924e-08
1340,5.23,0.9509499773383141,0.0532211035490036,0.0395,0.0,,0.9,69.2625,0.6281432375311852,5.861353333909691e-08
1360,5.31,0.9385999798774719,0.09880000352859497,-0.008,0.0,,0.8,62.65,0.5660994980484247,4.505930839770966e-08
1380,5.39,0.9756499767303467,0.024700000882148743,-0.0021,0.0,,0.95,62.675,0.5483432864770293,3.3249440353080526e-08
1400,5.47,0.958924975991249,0.058150000870227814,0.0457,0.0,,0.85,70.0625,0.5499988770112395,2.3205501879779545e-08
1420,5.55,0.9756499767303467,0.024700000882148743,-0.0011,0.0,,0.95,62.8,0.5410787329077721,1.494583989034326e-08
1440,5.62,0.9298499763011933,0.11630000174045563,-0.0209,0.0,,0.7,65.825,0.5660067407414318,8.485542021609116e-09
1460,5.7,0.9756499767303467,0.024700000882148743,-0.0006,0.0,,0.95,57.525,0.5090649638324976,3.836409074654768e-09
1480,5.78,0.9632499784231185,0.049500000476837155,0.045,0.0,,0.85,64.2,0.5575977757573127,1.0069334586854105e-09
1500,5.86,0.9712749749422074,0.03344999998807907,-0.0033,0.0,,0.9,66.55,0.6643042689189315,2.2836782462842817e-12
